a	一；一个；每一；任一
moon	月亮；月球；月亮；月球；月亮；月球；月亮；月球；月亮；月球；月亮；月球
moral	道德上的；道义上的；道德；伦理；寓意；道德上的；道义上的；道德；寓意；道德上的；道义上的
more	更多的；更大的；更；更多；更多的；更大的；更；更多；更多的；更大的；更；更多
moreover	而且；此外；再者；而且；此外；再者；而且；此外；再者；而且；此外；再者；而且；此外
morning	早晨；上午；早晨；上午；早晨；上午；早晨；上午；早晨；上午；早晨；上午
mortgage	抵押；抵押贷款；抵押；抵押贷款；抵押；抵押贷款；抵押；抵押贷款；抵押；抵押贷款；抵押
most	最多的；最大的；大多数；大部分；最；最多的；最大的；最；大多数；大部分；最多的；最大的
mostly	主要地；大部分地；通常；主要地；大部分地；通常；主要地；大部分地；通常；主要地；大部分地；主要地
mother	母亲；妈妈；母亲；妈妈；母亲；妈妈；母亲；妈妈；母亲；妈妈；母亲；妈妈
motion	运动；移动；动作；手势；提议；动议；运动；移动；动作；手势；运动；移动；动作；手势
motivation	动机；动力；激励；动机；动力；激励；动机；动力；激励；动机；动力；激励；动机
motor	发动机；马达；电动机；发动机；马达；发动机；马达；发动机；马达；发动机；马达；发动机
mount	登上；爬上；骑上；安装；固定；山；登上；爬上；骑上；安装；登上；爬上；骑上；登上
mountain	山；山脉；山；山脉；山；山脉；山；山脉；山；山脉；山；山脉
mouse	老鼠；鼠标；老鼠；鼠标；老鼠；鼠标；老鼠；鼠标；老鼠；鼠标；老鼠；鼠标
mouth	嘴；口；嘴；口；嘴；口；嘴；口；嘴；口；嘴；口
move	移动；搬家；搬家；移动；动作；移动；搬家；移动；动作；移动；搬家；移动；搬家
movement	运动；移动；行动；动作；运动；移动；行动；动作；运动；移动；行动；动作；运动；移动
movie	电影；电影；电影；电影；电影；电影；电影；电影；电影；电影；电影
Mr	先生；先生；先生；先生；先生；先生；先生；先生；先生；先生；先生
Mrs	夫人；太太；夫人；太太；夫人；太太；夫人；太太；夫人；太太；夫人；太太
Ms	女士；女士；女士；女士；女士；女士；女士；女士；女士；女士；女士
much	许多；大量；非常；很；许多；大量；非常；很；许多；大量；非常；很；许多；大量
multiple	多个的；多样的；倍数；多个的；多样的；多个的；多样的；倍数；多个的；多样的；多个的；多样的
murder	谋杀；凶杀；谋杀；凶杀；谋杀；凶杀；谋杀；凶杀；谋杀；凶杀；谋杀；凶杀
muscle	肌肉；肌肉；肌肉；肌肉；肌肉；肌肉；肌肉；肌肉；肌肉；肌肉；肌肉
museum	博物馆；博物馆；博物馆；博物馆；博物馆；博物馆；博物馆；博物馆；博物馆；博物馆；博物馆
music	音乐；乐曲；音乐；乐曲；音乐；乐曲；音乐；乐曲；音乐；乐曲；音乐；乐曲
musical	音乐的；悦耳的；音乐剧；音乐喜剧；音乐的；悦耳的；音乐剧；音乐的；悦耳的；音乐剧；音乐的；悦耳的
musician	音乐家；乐师；作曲家；音乐家；乐师；作曲家；音乐家；乐师；作曲家；音乐家；乐师；作曲家；音乐家
Muslim	穆斯林；伊斯兰教信徒；穆斯林的；伊斯兰教的；穆斯林；伊斯兰教信徒；穆斯林的；伊斯兰教的；穆斯林；伊斯兰教信徒；穆斯林的
must	必须；一定；应当；必须；一定；应当；必须；一定；应当；必须；一定；应当；必须；一定
mutual	相互的；彼此的；共同的；相互的；彼此的；共同的；相互的；彼此的；共同的；相互的；彼此的；共同的
my	我的；我的；我的；我的；我的；我的；我的；我的；我的；我的；我的
myself	我自己；我本人；我亲自；我自己；我本人；我亲自；我自己；我本人；我亲自；我自己；我本人；我自己
mystery	神秘的事物；谜；神秘；神秘小说；神秘的事物；谜；神秘；神秘小说；神秘的事物；谜；神秘；神秘的事物；谜；神秘
myth	神话；虚构的事；神话；虚构的事；神话；虚构的事；神话；虚构的事；神话；虚构的事；神话；虚构的事
naked	裸体的；裸露的；无遮盖的；赤裸裸的；裸体的；裸露的；无遮盖的；裸体的；裸露的；无遮盖的；裸体的；裸露的
name	名字；名称；姓名；命名；取名；名字；名称；姓名；命名；名字；名称；姓名；名字；名称
narrative	叙述的；叙事的；叙述；叙事；故事；叙述的；叙事的；叙述；叙事；故事；叙述的；叙事的；叙述；叙事
narrow	狭窄的；狭隘的；窄的；变窄；使变窄；狭窄的；狭隘的；窄的；狭窄的；狭隘的；窄的；狭窄的
nation	国家；民族；国家；民族；国家；民族；国家；民族；国家；民族；国家；民族
national	国家的；民族的；国民的；国家的；民族的；国民的；国家的；民族的；国民的；国家的；民族的；国家的
native	本国的；本地的；土著的；土生土长的；本地人；土著；本国的；本地的；土著的；本国的；本地的；土著的
natural	自然的；天然的；正常的；自然的；天然的；正常的；自然的；天然的；正常的；自然的；天然的；自然的
naturally	自然地；天然地；天生地；自然地；天然地；天生地；自然地；天然地；天生地；自然地；天然地；天生地
nature	自然；天性；本性；大自然；天性；本性；自然；天性；本性；自然；天性；本性；自然
near	近的；接近的；近；靠近；接近；近的；接近的；近；靠近；接近；近的；接近的；近
nearby	附近的；在附近；附近的；在附近；附近的；在附近；附近的；在附近；附近的；在附近；附近的
nearly	几乎；差不多；将近；几乎；差不多；将近；几乎；差不多；将近；几乎；差不多；将近；几乎；差不多
necessarily	必然地；必定；一定；必然地；必定；一定；必然地；必定；一定；必然地；必定；一定；必然地；必定
necessary	必要的；必需的；必然的；必需品；必要的；必需的；必然的；必要的；必需的；必然的；必要的；必需的
neck	脖子；颈；脖子；颈；脖子；颈；脖子；颈；脖子；颈；脖子；颈
need	需要；必需；必要；需要的东西；需要；必需；必要；需要；必需；必要；需要；必需；需要
negative	否定的；消极的；负的；阴性的；否定；负数；否定的；消极的；负的；否定的；消极的；负的；否定的
negotiate	谈判；协商；洽谈；谈判；协商；洽谈；谈判；协商；洽谈；谈判；协商；洽谈；谈判；协商
negotiation	谈判；协商；洽谈；谈判；协商；洽谈；谈判；协商；洽谈；谈判；协商；洽谈；谈判；协商
neighbor	邻居；邻人；邻国；邻居；邻人；邻国；邻居；邻人；邻国；邻居；邻人；邻国；邻居
neighborhood	街坊；邻里；附近；街坊；邻里；附近；街坊；邻里；附近；街坊；邻里；附近；街坊；邻里
neither	两者都不；也不；两者都不；也不；两者都不；也不；两者都不；也不；两者都不；也不；两者都不
nerve	神经；勇气；胆量；神经；勇气；胆量；神经；勇气；胆量；神经；勇气；胆量；神经；勇气
nervous	紧张的；焦虑的；神经质的；紧张的；焦虑的；神经质的；紧张的；焦虑的；神经质的；紧张的；焦虑的；紧张的
net	网；网状物；净的；纯的；用网捕捉；网；网状物；净的；纯的；网；网状物；净的；纯的；网；网状物
network	网络；网状系统；关系网；网络；网状系统；关系网；网络；网状系统；关系网；网络；网状系统；关系网；网络
never	从不；从未；决不；从不；从未；决不；从不；从未；决不；从不；从未；决不；从不；从未
nevertheless	然而；不过；仍然；然而；不过；仍然；然而；不过；仍然；然而；不过；仍然；然而；不过
new	新的；新鲜的；新出现的；新的；新鲜的；新出现的；新的；新鲜的；新出现的；新的；新鲜的；新的
newly	新近；最近；新近；最近；新近；最近；新近；最近；新近；最近；新近；最近
news	新闻；消息；新闻；消息；新闻；消息；新闻；消息；新闻；消息；新闻；消息
newspaper	报纸；报社；报纸；报社；报纸；报社；报纸；报社；报纸；报社；报纸；报社
next	下一个的；其次的；其次；然后；下一个的；其次的；下一个的；其次的；下一个的；其次的；下一个
nice	美好的；令人愉快的；友好的；美好的；令人愉快的；友好的；美好的；令人愉快的；友好的；美好的；令人愉快的；美好的
night	夜晚；晚上；夜；夜晚；晚上；夜；夜晚；晚上；夜；夜晚；晚上；夜；夜晚
nine	九；九个；九；九个；九；九个；九；九个；九；九个；九；九个
no	不；没有；不是；禁止；不许；没有的；禁止的；不；没有；不是；不；没有；不是；不
nobody	没有人；无人；没有人；无人；没有人；无人；没有人；无人；没有人；无人；没有人；无人
nod	点头；点头；点头；点头；点头；点头；点头；点头；点头；点头；点头
noise	噪声；喧闹声；响声；噪声；喧闹声；响声；噪声；喧闹声；响声；噪声；喧闹声；响声；噪声
nomination	提名；任命；提名；任命；提名；任命；提名；任命；提名；任命；提名；任命
none	没有一个；毫无；没有一个；毫无；没有一个；毫无；没有一个；毫无；没有一个；毫无；没有一个；毫无
nonetheless	然而；不过；仍然；然而；不过；仍然；然而；不过；仍然；然而；不过；仍然；然而；不过
nor	也不；也没有；也不；也没有；也不；也没有；也不；也没有；也不；也没有；也不
normal	正常的；平常的；正规的；常态；通常标准；正常的；平常的；正规的；正常的；平常的；正规的；正常的
normally	通常；正常地；平常地；通常；正常地；平常地；通常；正常地；平常地；通常；正常地；平常地；通常
north	北方；北部；北方的；北部的；向北；北方；北部；北方的；北部的；向北；北方；北部；北方的
northern	北方的；北部的；北方的；北部的；北方的；北部的；北方的；北部的；北方的；北部的；北方的
nose	鼻子；嗅觉；鼻子；嗅觉；鼻子；嗅觉；鼻子；嗅觉；鼻子；嗅觉；鼻子；嗅觉
not	不；没有；不是；不；没有；不是；不；没有；不是；不；没有；不是；不；没有
note	笔记；记录；注释；便条；纸币；注意；指出；笔记；记录；注释；便条；笔记；记录；笔记
nothing	没有什么；没有东西；什么也没有；没有什么；没有东西；什么也没有；没有什么；没有东西；什么也没有；没有什么；没有东西；什么也没有
notice	注意到；察觉；通知；布告；通告；注意到；察觉；通知；注意到；察觉；通知；注意到；察觉
notion	概念；观念；见解；想法；概念；观念；见解；想法；概念；观念；见解；想法；概念；观念；见解
novel	小说；新颖的；新奇的；小说；新颖的；新奇的；小说；新颖的；新奇的；小说；新颖的；新奇的；小说
now	现在；此刻；如今；马上；现在；此刻；如今；马上；现在；此刻；如今；马上；现在；此刻
nowhere	任何地方都不；无处；任何地方都不；无处；任何地方都不；无处；任何地方都不；无处；任何地方都不；无处；任何地方都不
n't	不；没有；不；没有；不；没有；不；没有；不；没有；不；没有
nuclear	核的；原子核的；核武器的；核的；原子核的；核武器的；核的；原子核的；核武器的；核的；原子核的；核武器的；核的
number	数字；数；号码；编号；数；数量；数字；数；号码；编号；数字；数；号码；数字
numerous	许多的；众多的；许多的；众多的；许多的；众多的；许多的；众多的；许多的；众多的；许多的；众多的
nurse	护士；护理；照料；护士；护理；照料；护士；护理；照料；护士；护理；照料；护士；护理
nut	坚果；螺母；螺帽；坚果；螺母；螺帽；坚果；螺母；螺帽；坚果；螺母；螺帽；坚果；螺母
object	物体；物品；对象；目标；宾语；反对；不赞成；物体；物品；对象；目标；物体；物品；对象；物体
objective	客观的；公正的；目标；目的；客观的；公正的；目标；目的；客观的；公正的；目标；目的；客观的；公正的
obligation	义务；责任；义务；责任；义务；责任；义务；责任；义务；责任；义务；责任
observation	观察；观测；注意；观察资料；观察；观测；注意；观察资料；观察；观测；注意；观察资料；观察；观测
observe	观察；观测；注意到；遵守；奉行；观察；观测；注意到；遵守；观察；观测；注意到；遵守；观察；观测
observer	观察者；观察员；观测者；观察者；观察员；观测者；观察者；观察员；观测者；观察者；观察员；观测者；观察者
obtain	获得；得到；买到；获得；得到；买到；获得；得到；买到；获得；得到；买到；获得；得到
obvious	明显的；显而易见的；明显的；显而易见的；明显的；显而易见的；明显的；显而易见的；明显的；显而易见的；明显的
obviously	明显地；显然；明显地；显然；明显地；显然；明显地；显然；明显地；显然；明显地；显然
occasion	场合；时刻；时机；盛会；场合；时刻；时机；场合；时刻；时机；场合；时刻；时机；场合；时刻
occasionally	偶尔；间或；偶然地；偶尔；间或；偶然地；偶尔；间或；偶然地；偶尔；间或；偶然地；偶尔；间或
occupation	职业；工作；占领；占据；职业；工作；占领；占据；职业；工作；占领；占据；职业；工作；占领
occupy	占领；占据；占用；使忙碌；使从事；占领；占据；占用；使忙碌；占领；占据；占用；使忙碌；占领；占据
occur	发生；出现；存在；发生；出现；存在；发生；出现；存在；发生；出现；存在；发生；出现
ocean	海洋；洋；海洋；洋；海洋；洋；海洋；洋；海洋；洋；海洋；洋
odd	奇数的，奇怪的
odds	几率，可能性
of	的
off	离开，关闭
offense	冒犯，进攻
offensive	冒犯的，进攻性的
offer	提供，提议
office	办公室
officer	官员，军官
official	官方的，官员
often	经常
oh	哦
oil	油
ok	好的
okay	好的
old	老的
Olympic	奥林匹克的
on	在...上
once	曾经，一次
one	一
ongoing	进行中的
onion	洋葱
online	在线的
only	只有
onto	到...上
open	打开，开放的
opening	开口，开幕式
operate	操作，运营
operating	操作的，运营的
operation	操作，手术
operator	操作员
opinion	观点
opponent	对手
opportunity	机会
oppose	反对
opposite	相反的
opposition	反对，反对派
option	选项
or	或者
orange	橙子，橙色
order	命令，顺序
ordinary	普通的
organic	有机的
organization	组织
organize	组织
orientation	方向，定位
origin	起源
original	原始的，原创的
originally	最初地
other	其他的
others	其他人
otherwise	否则
ought	应该
our	我们的
ourselves	我们自己
out	出去
outcome	结果
outside	外面
oven	烤箱
over	超过，结束
overall	总体的
overcome	克服
overlook	忽视
owe	欠
own	自己的
owner	所有者
pace	步伐
pack	包装，打包
package	包裹
page	页面
pain	疼痛
painful	痛苦的
paint	绘画，油漆
painter	画家
painting	画
pair	一对
pale	苍白的
Palestinian	巴勒斯坦的
palm	手掌，棕榈树
pan	平底锅
panel	面板，小组
pant	喘气，裤子
paper	纸
parent	父母
park	公园，停车
parking	停车
part	部分
participant	参与者
participate	参与
participation	参与
particular	特别的
particularly	特别地
partly	部分地
partner	伙伴
partnership	合作关系
party	聚会，政党
pass	通过，传递
passage	通道，段落
passenger	乘客
passion	热情
past	过去的
patch	补丁，修补
path	路径
patient	病人，耐心的
pattern	模式
pause	暂停
pay	支付
payment	付款
PC	个人电脑
peace	和平
peak	高峰，山顶
peer	同龄人，凝视
penalty	处罚
people	人们
pepper	胡椒
per	每
perceive	感知
percentage	百分比
perception	感知，看法
perfect	完美的
perfectly	完美地
perform	执行，表演
performance	表现，表演
perhaps	也许
period	时期
permanent	永久的
permission	许可
permit	允许，许可证
person	人
personal	个人的
personality	个性
personally	亲自
personnel	人员
perspective	视角，观点
persuade	说服
pet	宠物
phase	阶段
phenomenon	现象
philosophy	哲学
phone	电话
photo	照片
photograph	照片
photographer	摄影师
phrase	短语
physical	物理的，身体的
physically	身体上
physician	内科医生
piano	钢琴
pick	挑选，采摘
picture	图片，照片
pie	馅饼
piece	一块，件
pile	堆
pilot	飞行员
pine	松树，渴望
pink	粉色
pipe	管道
pitch	投球，音调
place	地方，放置
plan	计划
plane	飞机
planet	行星
planning	规划
plant	植物，工厂
plastic	塑料的
plate	盘子
platform	平台
play	玩，播放
player	玩家，选手
please	请
pleasure	快乐
plenty	大量
plot	情节，阴谋
plus	加，加号
PM	下午，项目经理
pocket	口袋
poem	诗
poet	诗人
poetry	诗歌
point	点，观点
pole	杆，极点
police	警察
policy	政策
political	政治的
politically	政治上
politician	政治家
politics	政治
poll	民意调查
pollution	污染
pool	水池，游泳池
poor	贫穷的
pop	流行的，砰的一声
popular	流行的
population	人口
porch	门廊
port	港口
portion	部分
portrait	肖像
portray	描绘
pose	姿势，摆姿势
position	位置，职位
positive	积极的，正面的
possess	拥有
possibility	可能性
possible	可能的
possibly	可能地
post	邮政，职位，帖子
pot	锅，罐
potato	土豆
potential	潜在的
potentially	潜在地
pound	磅，英镑
pour	倾倒
poverty	贫困
powder	粉末
power	力量，权力
powerful	强大的
practical	实际的
practice	练习，实践
pray	祈祷
prayer	祈祷，祷文
precisely	精确地
predict	预测
prefer	更喜欢
preference	偏好
pregnancy	怀孕
pregnant	怀孕的
preparation	准备
prepare	准备
prescription	处方
presence	存在
present	现在，礼物，呈现
presentation	演示，展示
preserve	保存
president	总统，主席
presidential	总统的
press	按压，新闻界
pressure	压力
pretend	假装
pretty	漂亮的
prevent	防止
previous	以前的
previously	以前地
price	价格
pride	骄傲
priest	牧师
primarily	主要地
primary	主要的，初级的
prime	主要的，素数
principal	校长，主要的
principle	原则
print	打印
prior	优先的
priority	优先级
prison	监狱
prisoner	囚犯
privacy	隐私
private	私人的
probably	可能
problem	问题
procedure	程序
proceed	继续
process	过程，处理
produce	生产，农产品
producer	生产者
product	产品
production	生产
profession	职业
professional	专业的，专业人士
professor	教授
profile	轮廓，简介
profit	利润
program	程序，节目
progress	进步
project	项目
prominent	突出的
promise	承诺
promote	促进，提升
prompt	提示，迅速的
proof	证明
proper	适当的
properly	适当地
property	财产，性质
proportion	比例
proposal	提议
propose	提议
proposed	提议的
prosecutor	检察官
prospect	前景，展望
protect	保护
protection	保护
protein	蛋白质
protest	抗议
proud	骄傲的
prove	证明
provide	提供
provider	提供者
province	省
provision	规定，供应
psychological	心理的
psychologist	心理学家
psychology	心理学
public	公共的，公众
publication	出版，出版物
publicly	公开地
publish	出版
publisher	出版商
pull	拉
punishment	惩罚
purchase	购买
pure	纯粹的
purpose	目的
pursue	追求
push	推
put	放
qualify	使合格，限定
quality	质量
quarter	四分之一，季度
quarterback	四分卫
question	问题，质疑
quick	快速的
quickly	快速地
quiet	安静的
quietly	安静地
quit	退出，辞职
quite	相当
quote	引用，报价
race	种族，比赛
racial	种族的
radical	激进的，根本的
radio	收音机
rail	铁轨，栏杆
rain	雨，下雨
raise	提高，筹集
range	范围，山脉
rank	等级，排名
rapid	迅速的
rapidly	迅速地
rare	稀有的
rarely	很少地
rate	比率，评价
rather	相当，宁愿
rating	评级
ratio	比例
raw	生的，原始的
reach	到达，触及
react	反应
reaction	反应
read	阅读
reader	读者
reading	阅读，读物
ready	准备好的
real	真实的
reality	现实
realize	意识到
really	真正地
reason	原因，理由
reasonable	合理的
recall	回忆，召回
receive	接收
recent	最近的
recently	最近
recipe	食谱，配方
recognition	认可，识别
recognize	识别，认可
recommend	推荐
recommendation	推荐
record	记录，唱片
recording	录音
recover	恢复
recovery	恢复
recruit	招募
red	红色
reduce	减少
reduction	减少
refer	参考，提及
reference	参考，引用
reflect	反射，反映
reflection	反射，反思
reform	改革
refugee	难民
refuse	拒绝
regard	看待，尊重
regarding	关于
regardless	不管怎样
regime	政权，制度
region	地区
regional	地区的
register	注册，登记
regular	规律的，定期的
regularly	定期地
regulate	调节，规定
regulation	规定，法规
reinforce	加强
reject	拒绝，驳回
relate	相关，联系
relation	关系
relationship	关系
relative	相对的，亲戚
relatively	相对地
relax	放松
release	释放，发布
relevant	相关的
relief	救济，缓解
religion	宗教
religious	宗教的
rely	依赖
remain	保持，剩余
remaining	剩余的
remarkable	显著的，非凡的
remember	记得
remind	提醒
remote	遥远的，远程的
remove	移除
repeat	重复
repeatedly	反复地
replace	替换
reply	回复
report	报告
reporter	记者
represent	代表
representation	代表，表现
representative	代表的，代表
Republican	共和党人
reputation	声誉
request	请求
require	要求
requirement	要求，需求
research	研究
researcher	研究者
resemble	相似
reservation	预订，保留
resident	居民
resist	抵抗
resistance	抵抗，阻力
resolution	决议，分辨率
resolve	解决，决心
resort	度假胜地，诉诸
resource	资源
respect	尊重
respond	回应
respondent	受访者
response	回应
responsibility	责任
responsible	负责的
rest	休息，剩余部分
restaurant	餐厅
restore	恢复
restriction	限制
result	结果
retain	保持，保留
retire	退休
retirement	退休
return	返回，归还
reveal	揭示
revenue	收入
review	回顾，审查
revolution	革命
rhythm	节奏
rice	米饭
rich	富有的，丰富的
rid	摆脱
ride	骑，乘坐
rifle	步枪
right	正确的，右边，权利
ring	戒指，铃声，环形
rise	上升
risk	风险
river	河流
road	道路
rock	岩石，摇动
role	角色
roll	滚动，卷
romantic	浪漫的
roof	屋顶
room	房间，空间
root	根
rope	绳子
rose	玫瑰，上升（过去式）
rough	粗糙的，粗略的
roughly	粗略地
round	圆的，围绕
route	路线
routine	例行的，日常的
row	排，划船
rub	摩擦
rule	规则，统治
run	跑，运行
running	跑步的，运行的
rural	农村的
rush	匆忙，冲刺
Russian	俄罗斯的，俄罗斯人
sacred	神圣的
sad	悲伤的
safe	安全的
safety	安全
sake	缘故，清酒
salad	沙拉
salary	薪水
sale	销售
sales	销售
salt	盐
same	相同的
sample	样本
sanction	制裁，批准
sand	沙子
satellite	卫星
satisfaction	满意
satisfy	使满意
sauce	酱汁
save	保存，节省
saving	储蓄，拯救
say	说
scale	规模，比例，秤
scandal	丑闻
scared	害怕的
scenario	场景，情景
scene	场景，现场
schedule	日程安排
scheme	计划，方案
scholar	学者
scholarship	奖学金
school	学校
science	科学
scientific	科学的
scientist	科学家
scope	范围
score	分数，得分
scream	尖叫
screen	屏幕，屏幕
script	脚本，剧本
sea	海
search	搜索
season	季节
seat	座位
second	第二，秒
secret	秘密
secretary	秘书
section	部分，部门
sector	部门，领域
secure	安全的，保护
security	安全
see	看见
seed	种子
seek	寻找
seem	似乎
segment	段，部分
seize	抓住
select	选择
selection	选择
self	自己
sell	卖
Senate	参议院
senator	参议员
send	发送
senior	高级的，年长的
sense	感觉，意义
sensitive	敏感的
sentence	句子，判决
separate	分开的，分离
sequence	序列
series	系列
serious	严肃的，严重的
seriously	严肃地
serve	服务
service	服务
session	会议，会话
set	放置，设置
setting	设置，环境
settle	解决，定居
settlement	解决，定居点
seven	七
several	几个
severe	严重的
sex	性
sexual	性的
shade	阴影，色调
shadow	影子
shake	摇动，握手
shall	将要
shape	形状
share	分享，份额
sharp	锋利的，尖锐的
she	她
sheet	床单，薄片
shelf	架子
shell	壳，贝壳
shelter	庇护所，遮蔽
shift	转移，轮班
shine	发光，照耀
ship	船，运输
shirt	衬衫
shit	屎，胡说
shock	震惊
shoe	鞋
shoot	射击，拍摄
shooting	射击，拍摄
shop	商店，购物
shopping	购物
shore	岸，海滨
short	短的
shortly	不久
shot	射击，镜头
should	应该
shoulder	肩膀
shout	大喊
show	展示
shower	淋浴，阵雨
shrug	耸肩
shut	关闭
sick	生病的
side	边，侧面
sigh	叹息
sight	视力，景象
sign	标志，签名
signal	信号
significance	意义，重要性
significant	重要的，显著的
significantly	显著地
silence	沉默
silent	沉默的
silver	银
similar	相似的
similarly	相似地
simple	简单的
simply	简单地，仅仅
sin	罪恶
since	自从，因为
sing	唱歌
singer	歌手
single	单一的
sink	下沉，水槽
sir	先生
sister	姐妹
sit	坐
site	地点，网站
situation	情况
six	六
size	尺寸
ski	滑雪
skill	技能
skin	皮肤
sky	天空
slave	奴隶
sleep	睡觉
slice	切片
slide	滑动
slight	轻微的
slightly	轻微地
slip	滑倒，溜走
slow	慢的
slowly	慢地
small	小的
smart	聪明的，智能的
smell	气味，闻
smile	微笑
smoke	烟，吸烟
smooth	光滑的
snap	快照，断裂
snow	雪
so	所以，如此
so-called	所谓的
soccer	足球
social	社会的
society	社会
soft	柔软的
software	软件
soil	土壤
solar	太阳的
soldier	士兵
solid	固体的，坚固的
solution	解决方案
solve	解决
some	一些
somebody	某人
somehow	以某种方式
someone	某人
something	某事
sometimes	有时
somewhat	有点
somewhere	某处
son	儿子
song	歌曲
soon	很快
sophisticated	复杂的，老练的
sorry	对不起，遗憾的
sort	种类，排序
soul	灵魂
sound	声音，听起来
soup	汤
source	来源
south	南方
southern	南方的
Soviet	苏联的
space	空间，太空
Spanish	西班牙的
speak	说话
speaker	说话者，扬声器
special	特别的
specialist	专家
species	物种
specific	特定的
specifically	特别地
speech	演讲，言语
speed	速度
spend	花费
spending	支出
spin	旋转
spirit	精神
spiritual	精神的
split	分裂
spokesman	发言人
sport	运动
spot	斑点，地点
spread	传播，蔓延
spring	春天，弹簧
square	正方形，广场
squeeze	挤压
stability	稳定性
stable	稳定的
staff	员工
stage	舞台，阶段
stair	楼梯
stake	赌注，股份
stand	站立，忍受
standard	标准
standing	站立的，地位
star	星星，明星
stare	凝视
start	开始
state	状态，州，陈述
statement	声明
station	车站，电台
statistics	统计
status	状态，地位
stay	停留，保持
steady	稳定的
steal	偷
steel	钢
step	步骤，脚步
stick	棍子，坚持
still	仍然，静止的
stir	搅拌
stock	库存，股票
stomach	胃
stone	石头
stop	停止
storage	存储
store	商店，储存
storm	风暴
story	故事
straight	直的
strange	奇怪的
stranger	陌生人
strategic	战略的
strategy	战略
stream	溪流，流
street	街道
strength	力量
strengthen	加强
stress	压力，强调
stretch	伸展
strike	罢工，打击
string	弦，字符串
strip	条带，剥离
stroke	中风，笔画
strong	强壮的
strongly	强烈地
structure	结构
struggle	挣扎，斗争
student	学生
studio	工作室
study	学习，研究
stuff	东西，材料
stupid	愚蠢的
style	风格
subject	主题，科目
submit	提交
subsequent	随后的
substance	物质，实质
substantial	大量的，实质的
succeed	成功
success	成功
successful	成功的
successfully	成功地
such	这样的
sudden	突然的
suddenly	突然地
sue	起诉
suffer	遭受
sufficient	足够的
sugar	糖
suggest	建议
suggestion	建议
suicide	自杀
suit	西装，适合
summer	夏天
summit	峰会，顶点
sun	太阳
super	超级的
supply	供应
support	支持
supporter	支持者
suppose	假设
supposed	假定的，据说
Supreme	最高的
sure	确定的
surely	肯定地
surface	表面
surgery	手术
surprise	惊喜，惊讶
surprised	惊讶的
surprising	令人惊讶的
surprisingly	令人惊讶地
surround	包围
survey	调查
survival	生存
survive	生存
survivor	幸存者
suspect	怀疑，嫌疑犯
sustain	维持
swear	发誓
sweep	扫
sweet	甜的
swim	游泳
swing	摇摆
switch	开关，切换
symbol	符号
symptom	症状
system	系统
table	桌子
tablespoon	汤匙
tactic	策略
tail	尾巴
take	拿，采取
tale	故事
talent	才能，天赋
talk	谈话
tall	高的
tank	坦克，水箱
tap	轻敲，水龙头
tape	胶带，录音带
target	目标
task	任务
taste	味道，品尝
tax	税
taxpayer	纳税人
tea	茶
teach	教
teacher	教师
teaching	教学
team	团队
tear	眼泪，撕开
teaspoon	茶匙
technical	技术的
technique	技术，技巧
technology	技术
teen	青少年
teenager	青少年
telephone	电话
telescope	望远镜
television	电视
tell	告诉
temperature	温度
temporary	临时的
ten	十
tend	倾向
tendency	倾向
tennis	网球
tension	紧张
tent	帐篷
term	术语，学期
terms	条款，术语
terrible	可怕的
territory	领土
terror	恐怖
terrorism	恐怖主义
terrorist	恐怖分子
test	测试
testify	作证
testimony	证词
testing	测试
text	文本，短信
than	比
thank	感谢
thanks	谢谢
that	那个
the	这，那（定冠词）
theater	剧院
their	他们的
them	他们（宾格）
theme	主题
themselves	他们自己
then	然后
theory	理论
therapy	治疗
there	那里
therefore	因此
these	这些
they	他们
thick	厚的
thin	薄的
thing	东西，事情
think	思考
thinking	思考
third	第三
thirty	三十
this	这个
those	那些
though	虽然
thought	想法，思想
thousand	千
threat	威胁
threaten	威胁
three	三
throat	喉咙
through	通过
throughout	贯穿
throw	扔
thus	因此
ticket	票
tie	领带，系
tight	紧的
time	时间
tiny	微小的
tip	提示，小费
tire	轮胎，疲劳
tired	疲倦的
tissue	纸巾，组织
title	标题，头衔
to	到，向
tobacco	烟草
today	今天
toe	脚趾
together	一起
tomato	西红柿
tomorrow	明天
tone	语气，音调
tongue	舌头
tonight	今晚
too	也，太
tool	工具
tooth	牙齿
top	顶部
topic	话题
toss	抛，扔
total	总数，完全的
totally	完全地
touch	触摸
tough	艰难的
tour	旅行，参观
tourist	游客
tournament	锦标赛
toward	朝向
towards	朝向
tower	塔
town	城镇
toy	玩具
trace	痕迹，追踪
track	轨道，追踪
trade	贸易
tradition	传统
traditional	传统的
traffic	交通
tragedy	悲剧
trail	小路，痕迹
train	火车，训练
training	训练
transfer	转移，转让
transform	转变
transformation	转变
transition	过渡
translate	翻译
transportation	交通，运输
travel	旅行
treat	对待，治疗
treatment	治疗，处理
treaty	条约
tree	树
tremendous	巨大的
trend	趋势
trial	审判，试验
tribe	部落
trick	技巧，诡计
trip	旅行
troop	部队
trouble	麻烦
truck	卡车
true	真实的
truly	真实地
trust	信任
truth	真相
try	尝试
tube	管子
tunnel	隧道
turn	转动，转弯
TV	电视
twelve	十二
twenty	二十
twice	两次
twin	双胞胎
two	二
type	类型，打字
typical	典型的
typically	典型地
ugly	丑陋的
ultimate	最终的
ultimately	最终地
unable	不能的
uncle	叔叔
under	在...下面
undergo	经历
understand	理解
understanding	理解，谅解
